manhwa_name,manhwa_synonym,manhwa_japanese,manhwa_english,manhwa_type,manhwa_volume,manhwa_chapters,manhwa_status,manhwa_published,manhwa_genre,manhwa_theme,manhwa_demographic,manhwa_serialization,manhwa_author,manhwa_score,manhwa_ranked,manhwa_popularity,manhwa_members,manhwa_favorites
The Hunter's Gonna Lay Low,The Hunter Wants to Live Quietly,헌터는 조용히 살고 싶다,The Hunter's Gonna Lay Low,Manhwa,Unknown,Unknown,Publishing,"Sep  16, 2024 to ?","Boys LoveBoys Love,FantasyFantasy","Super PowerSuper Power,Time TravelTime Travel,Urban FantasyUrban Fantasy",,Ridi Webtoon,"Ligong(Art),Baeksam(Story)",7.861(scored by298298 users)1indicates aweighted score.,#118522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#17262,"1,022",29
Teenage Mercenary,"Mercenary Enrollment, High School Mercenary, Iphak Yongbyeong",입학용병,Teenage Mercenary,Manhwa,Unknown,Unknown,Publishing,"Nov  6, 2020 to ?",ActionAction,SchoolSchool,,Naver Webtoon,"YC(Story),Rakhyun(Art)","7.861(scored by1804118,041 users)1indicates aweighted score.",#115922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#414,"46,346",831
Yongbi Bulpae,,용비불패,Yongbi the Invincible,Manhwa,23,Unknown,Finished,1998 to  2002,"ActionAction,AdventureAdventure,ComedyComedy","HistoricalHistorical,Martial ArtsMartial Arts",,None,"Mun, Jung-Hoo(Art),Ryu, Ki Woon(Story)","7.861(scored by18371,837 users)1indicates aweighted score.",#118222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3578,"6,905",83
Trace,,트레이스,,Manhwa,Unknown,177,Finished,"Apr  3, 2007 to Feb  13, 2009","ActionAction,FantasyFantasy",Urban FantasyUrban Fantasy,,Daum Webtoon,"Go, Yeong-Hun(Story & Art)","7.851(scored by36223,622 users)1indicates aweighted score.",#121322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2043,"11,793",152
The Villain's Survival Route,"The Villain Wants to Live, Akdang-eun Salgo Sipda, A Villain's Will to Survive",악당은 살고 싶다,The Villain's Survival Route,Manhwa,Unknown,Unknown,Publishing,"Feb  28, 2025 to ?",FantasyFantasy,"IsekaiIsekai,ReincarnationReincarnation",,KakaoPage,"Ji, Gapsong(Story),Momong(Art)","7.851(scored by23122,312 users)1indicates aweighted score.",#118622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2820,"8,727",45
Happily Ever Afterwards,"I Picked up the Second Male Lead After the Ending, Ending Hu Sub-nam-eul Juwotda",엔딩 후 서브남을 주웠다,Happily Ever Afterwards,Manhwa,Unknown,89,Finished,"Dec  15, 2020 to Sep  27, 2022","ComedyComedy,FantasyFantasy,RomanceRomance","IsekaiIsekai,ReincarnationReincarnation",,Naver Webtoon,"Jeongseo(Art),Hwang, Dotol(Story)","7.851(scored by33633,363 users)1indicates aweighted score.",#120222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3393,"7,295",124
Death's Game,Ije Got Jukseumnida,이제 곧 죽습니다,Death's Game,Manhwa,6,66,Finished,"Apr  18, 2019 to Jun  25, 2020","DramaDrama,SupernaturalSupernatural",PsychologicalPsychological,,Naver Webtoon,"Lee, Won-Sik(Story),Ggulchan(Art)","7.851(scored by26252,625 users)1indicates aweighted score.",#120322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4500,"5,484",92
The Villainess Flips the Script!,"It's Time to Change the Genre, I Will Change the Genre, I Will Make an Attempt to Change the Genre, Genre-reul Bakkwobodorok Hagetseumnida",장르를 바꿔보도록 하겠습니다,The Villainess Flips the Script!,Manhwa,Unknown,Unknown,Publishing,"Apr  24, 2021 to ?",FantasyFantasy,"IsekaiIsekai,VillainessVillainess",,KakaoPage,"Ken(Story),Garine(Art)","7.851(scored by29302,930 users)1indicates aweighted score.",#120522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2448,"9,829",72
Super Secret,Everybody's Got a Secret,슈퍼 시크릿,Super Secret,Manhwa,4,144,Finished,"Mar  30, 2015 to Jan  22, 2018","ComedyComedy,DramaDrama,RomanceRomance,SupernaturalSupernatural",,,Naver Webtoon,eon(Story & Art),"7.851(scored by48364,836 users)1indicates aweighted score.",#121522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2361,"10,151",194
A Good Day to Be a Dog,"Lovely Again Today, Oneuldo Sarangseureopgae",오늘도 사랑스럽개,A Good Day to Be a Dog,Manhwa,9,88,Finished,"Aug  5, 2017 to Apr  6, 2019","ComedyComedy,DramaDrama,RomanceRomance,SupernaturalSupernatural",,,Naver Webtoon,"Lee, Hye(Story & Art)","7.851(scored by83448,344 users)1indicates aweighted score.",#121822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1367,"16,422",279
Duty After School,"Afterschool Military Activity, Banggwa hu Jeonjaeng Hwaldong, Afterschool War Activities",방과 후 전쟁활동,Duty After School,Manhwa,5,50,Finished,"Nov  17, 2012 to Dec  14, 2013","ActionAction,DramaDrama,Sci-FiSci-Fi","MilitaryMilitary,PsychologicalPsychological,SchoolSchool",,Naver Webtoon,"Ha, Il-Kwon(Story & Art)","7.841(scored by37783,778 users)1indicates aweighted score.",#123422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2175,"11,023",187
The Swordmaster's Son,"Swordmaster's Youngest Son, The Youngest Son of a Master Swordsman, Geomsul Myeongga Mangnaeadeul",검술명가 막내아들,The Swordmaster's Son,Manhwa,Unknown,Unknown,Publishing,"Apr  30, 2022 to ?","ActionAction,AdventureAdventure,FantasyFantasy",,,KakaoPage,"Hwangje Penguin(Story),Lee, Jewon(Art)","7.841(scored by1147011,470 users)1indicates aweighted score.",#124922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#572,"35,170",375
The Villainess Turns the Hourglass,"The Villainess Reverses the Hourglass, Angnyeo-neun Moraesigye-reul Doedollinda",악녀는 모래시계를 되돌린다,The Villainess Turns the Hourglass,Manhwa,Unknown,125,Finished,"Mar  1, 2020 to Nov  4, 2022",FantasyFantasy,Time TravelTime Travel,,KakaoPage,"Ant Studio(Art),Sansobee(Story)","7.841(scored by81748,174 users)1indicates aweighted score.",#125022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1216,"18,215",286
Miss Not-So Sidekick,Gugyeonghaneun Deulleoriyang,구경하는 들러리양,Miss Not-So Sidekick,Manhwa,Unknown,Unknown,Publishing,"Dec  24, 2017 to ?","ComedyComedy,FantasyFantasy","IsekaiIsekai,VillainessVillainess",,KakaoPage,"Ellianyang(Story),Yumyum(Art)","7.841(scored by29592,959 users)1indicates aweighted score.",#125122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3686,"6,689",166
Park Hanhoo's Manager,Park Hanhoo-ui Manager,박한후의 매니저,Park Hanhoo's Manager,Manhwa,Unknown,76,Finished,"Nov  17, 2020 to Dec  21, 2021",Boys LoveBoys Love,,,KakaoPage,"Kim, Tac(Story & Art)",7.841(scored by647647 users)1indicates aweighted score.,#125222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#11237,"1,855",33
Romance 101 Spin-Off,"Romance 101 Side Stories, Bareun Yeonae Giljabgi Oejeon",바른연애 길잡이 외전,Romance 101 Spin-Off,Manhwa,1,6,Finished,"May  31, 2021 to Jul  5, 2021","ComedyComedy,RomanceRomance",,,Naver Webtoon,Namsu(Story & Art),7.841(scored by394394 users)1indicates aweighted score.,#125422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#17816,974,3
Foam of the Sea,"Foam of the Waves, Padoui Pomal",파도의 포말,Foam of the Sea,Manhwa,Unknown,61,Finished,"Oct  16, 2023 to Oct  28, 2024","FantasyFantasy,RomanceRomance",ReincarnationReincarnation,,Naver Webtoon,Ratte(Story & Art),7.841(scored by643643 users)1indicates aweighted score.,#123022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12032,"1,692",25
Phantom Whispers,Yuryeong-ui Norae,유령의 노래,Phantom Whispers,Manhwa,Unknown,Unknown,Publishing,"Apr  12, 2024 to ?","MysteryMystery,SuspenseSuspense",PsychologicalPsychological,,Naver Webtoon,"Kim, Moonkyoung(Story & Art)",7.841(scored by173173 users)1indicates aweighted score.,#123122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#23571,618,21
Special Civil Servant,Byeoljeongjik Gongmuwon,별정직 공무원,Special Civil Servant,Manhwa,Unknown,Unknown,Publishing,"Jun  5, 2024 to ?","ActionAction,FantasyFantasy","Adult CastAdult Cast,Urban FantasyUrban Fantasy",,Naver Webtoon,"Kwon, Sora(Story),Seo, Jaewon(Story),ch(Art)","7.841(scored by10521,052 users)1indicates aweighted score.",#123222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5928,"4,038",69
Concubine Walkthrough,"Hugunggongnyak, Royal Game",후궁공략,Concubine Walkthrough,Manhwa,Unknown,130,Finished,"Jun  19, 2020 to Dec  30, 2022","DramaDrama,FantasyFantasy,RomanceRomance",,,Daum Webtoon,Bongbong(Story & Art),7.841(scored by166166 users)1indicates aweighted score.,#123322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#27619,459,18
Latna Saga: Survival of a Sword King,"Survival Story of a Sword King in a Fantasy World, Otherworldly Sword King's Survival Records, Igye Geomwang Saengjongi",이계 검왕 생존기,Latna Saga: Survival of a Sword King,Manhwa,Unknown,Unknown,Publishing,"Dec  31, 2019 to ?","ActionAction,AdventureAdventure,FantasyFantasy",IsekaiIsekai,,KakaoPage,"Yim, Kyung-bae(Story),Kwon, Soonkyu(Art)","7.831(scored by82808,280 users)1indicates aweighted score.",#129922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#811,"26,117",430
The Ember Knight,"The Knight of Embers, Janbul-ui Gisa",잔불의 기사,The Ember Knight,Manhwa,Unknown,Unknown,Publishing,"Mar  19, 2021 to ?","ActionAction,AdventureAdventure,FantasyFantasy",,,Naver Webtoon,Hwandaeng(Story & Art),"7.831(scored by28922,892 users)1indicates aweighted score.",#130022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2557,"9,466",140
Ending Maker,,엔딩메이커,Ending Maker,Manhwa,Unknown,Unknown,Publishing,"May  29, 2022 to ?","ActionAction,FantasyFantasy,RomanceRomance",IsekaiIsekai,,KakaoPage,"Chwiryong(Story),Does(Art)","7.831(scored by31063,106 users)1indicates aweighted score.",#130122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2208,"10,849",119
Revelation of Youth,"Apocalypse of Youth, Cheongchun Gyesirok",청춘계시록,,Manhwa,Unknown,Unknown,Publishing,"Nov  5, 2022 to ?",RomanceRomance,SchoolSchool,,Naver Webtoon,Hanseo(Story & Art),"7.831(scored by10461,046 users)1indicates aweighted score.",#130222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5064,"4,782",47
Medical Return,"Medical Rebirth, Medical Hwansaeng",메디컬 환생,,Manhwa,Unknown,150,Finished,"Sep  7, 2019 to Jan  28, 2022",DramaDrama,"MedicalMedical,Time TravelTime Travel",,KakaoPage,"Yuin(Story),Kidari Studio(Art)","7.821(scored by43924,392 users)1indicates aweighted score.",#135322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2724,"8,975",116
For Better or For Worse,"Dahaeng Inji Bulhaeng Inji, Is It Fortune or Is It Woe?",다행인지 불행인지,For Better or For Worse,Manhwa,Unknown,116,Finished,"Nov  17, 2020 to Mar  11, 2023","FantasyFantasy,RomanceRomance",VillainessVillainess,,KakaoPage,"No Heeda(Story),Eunren(Art)","7.821(scored by22692,269 users)1indicates aweighted score.",#135422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4315,"5,728",57
For My Derelict Favorite,"For My Forsaken Beloved, For My Abandoned Love, Beoryeojin Naui Choeae-reul Wihayeo",버려진 나의 최애를 위하여,For My Derelict Favorite,Manhwa,Unknown,122,Finished,"May  4, 2022 to Oct  15, 2025","FantasyFantasy,RomanceRomance","IsekaiIsekai,ReincarnationReincarnation,Time TravelTime Travel",,Naver Webtoon,"Kim, Seonyu(Story),Kimyong(Art)","7.821(scored by22352,235 users)1indicates aweighted score.",#135522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3579,"6,904",117
Not Your Typical Reincarnation Story,"Not Your Typical Reincarnation Story, I Thought It Was a Common Isekai Story, I Thought It Was a Common Possession",흔한 빙의물인 줄 알았다,Not Your Typical Reincarnation Story,Manhwa,Unknown,115,Finished,"Apr  4, 2023 to Aug  26, 2025","FantasyFantasy,RomanceRomance","IsekaiIsekai,VillainessVillainess",,Naver Webtoon,"Lemon Gaeguri(Story),Ajin(Art)","7.821(scored by38683,868 users)1indicates aweighted score.",#135822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2317,"10,305",146
Unlucky Mansion,,언럭키맨션,,Manhwa,Unknown,73,Finished,"May  19, 2016 to Jan  4, 2018","ComedyComedy,RomanceRomance,Slice of LifeSlice of Life",,,comico,Yakguk(Story & Art),"7.821(scored by11411,141 users)1indicates aweighted score.",#132522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4813,"5,085",62
