manhwa_name,manhwa_synonym,manhwa_japanese,manhwa_english,manhwa_type,manhwa_volume,manhwa_chapters,manhwa_status,manhwa_published,manhwa_genre,manhwa_theme,manhwa_demographic,manhwa_serialization,manhwa_author,manhwa_score,manhwa_ranked,manhwa_popularity,manhwa_members,manhwa_favorites
The Greatest Estate Developer,"The World's Best Engineer, The Greatest Estate Designer, Yeokdaegeup Yeongji Seolgyesa",역대급 영지 설계사,The Greatest Estate Developer,Manhwa,Unknown,222,Finished,"Jul  30, 2021 to Jan  1, 2026","AdventureAdventure,ComedyComedy,FantasyFantasy","IsekaiIsekai,ReincarnationReincarnation",,Naver Webtoon,"Moon, Back-kyung(Story),Kim, Hyunsoo(Art)","9.041(scored by3405634,056 users)1indicates aweighted score.",#1122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#235,"73,723","4,310"
No Home,Jib-i Eopseo,집이 없어,,Manhwa,Unknown,269,Finished,"Dec  31, 2018 to Aug  5, 2024",Slice of LifeSlice of Life,SchoolSchool,,Naver Webtoon,Wanan(Story & Art),"8.771(scored by35223,522 users)1indicates aweighted score.",#4722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2110,"11,390",661
On the Way to Meet Mom,On the Way to See My Mom,엄마를 만나러 가는 길,On the Way to Meet Mom,Manhwa,2,31,Finished,"Nov  25, 2024 to Jun  10, 2025","AdventureAdventure,FantasyFantasy",ChildcareChildcare,,Naver Webtoon,Gomyang(Story & Art),"8.771(scored by36173,617 users)1indicates aweighted score.",#5122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2671,"9,141",257
My Bias Gets on the Last Train,,내 최애는 막차를 탄다,My Bias Gets on the Last Train,Manhwa,Unknown,Unknown,Publishing,"Dec  14, 2024 to ?",RomanceRomance,,,Naver Webtoon,Jixksee(Story & Art),"8.731(scored by50095,009 users)1indicates aweighted score.",#5722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1660,"14,174",582
The Horizon,,수평선,The Horizon,Manhwa,3,21,Finished,"Mar  30, 2016 to Jul  21, 2016","AdventureAdventure,DramaDrama",PsychologicalPsychological,,Comica,"Jeong, Ji-Hoon(Story & Art)","8.691(scored by5161551,615 users)1indicates aweighted score.",#6722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#139,"112,661","5,309"
Omniscient Reader's Viewpoint,Jeonji-jeok Dokja Sijeom,전지적 독자 시점,Omniscient Reader's Viewpoint,Manhwa,Unknown,Unknown,Publishing,"May  26, 2020 to ?","ActionAction,AdventureAdventure,FantasyFantasy",Urban FantasyUrban Fantasy,,Naver Webtoon,"sing N song(Story),Sleepy-C(Art)","8.651(scored by6750067,500 users)1indicates aweighted score.",#8022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#81,"163,387","8,883"
Solo Leveling,"Na Honjaman Level Up, I Level Up Alone",나 혼자만 레벨업,Solo Leveling,Manhwa,Unknown,201,Finished,"Mar  4, 2018 to May  31, 2023","ActionAction,AdventureAdventure,FantasyFantasy","Adult CastAdult Cast,Urban FantasyUrban Fantasy",,KakaoPage,"Chugong(Story),Jang, Sung-rak(Art),Disciples(Art)","8.601(scored by361716361,716 users)1indicates aweighted score.",#10322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5,"606,002","47,382"
Seasons of Blossom,Cheongchun Blossom,청춘 블라썸,Seasons of Blossom,Manhwa,12,135,Finished,"Jun  24, 2020 to Mar  24, 2023",RomanceRomance,Love PolygonLove Polygon,,Naver Webtoon,"Hongduck(Story),NEMONE(Art)","8.591(scored by82678,267 users)1indicates aweighted score.",#10822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1094,"19,962",878
Wind Breaker,,윈드 브레이커,Wind Breaker,Manhwa,Unknown,553,Discontinued,"Dec  15, 2013 to Jul  11, 2025","DramaDrama,SportsSports",,,Naver Webtoon,"Jo, Yongseok(Story & Art)","8.581(scored by2345023,450 users)1indicates aweighted score.",#10922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#280,"66,132","3,528"
The Legend of the Northern Blade,Bukgeom Jeongi,북검전기,The Legend of the Northern Blade,Manhwa,Unknown,202,Finished,"Dec  31, 2019 to Nov  19, 2024","ActionAction,AdventureAdventure,FantasyFantasy",Martial ArtsMartial Arts,,KakaoPage,"Woogack(Story),Hae, Min(Art)","8.581(scored by2225322,253 users)1indicates aweighted score.",#11322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#339,"54,643","1,549"
Webtoon Character Na Kang Lim,Suyo Webtoon-ui Na Kang Lim,수요웹툰의 나강림,,Manhwa,Unknown,172,Finished,"May  4, 2021 to Jul  9, 2024","ComedyComedy,RomanceRomance,SupernaturalSupernatural","HaremHarem,SchoolSchool,Time TravelTime Travel",,Naver Webtoon,"Lee, Kyeongmin(Story),Song, Junhyeok(Art)","8.551(scored by74747,474 users)1indicates aweighted score.",#12322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1426,"16,017",847
Eleceed,,일렉시드,Eleceed,Manhwa,Unknown,Unknown,Publishing,"Oct  2, 2018 to ?",ActionAction,Super PowerSuper Power,,Naver Webtoon,"Kim, Hye-Jin(Art),Son, Jae-Ho(Story)","8.531(scored by1571515,715 users)1indicates aweighted score.",#14022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#482,"41,323","1,721"
After School Lessons for Unripe Apples,"20th Century Green Apple School, 90's Cram School for Unripe Apples, Segimal Putsagwa Boseup Hagwon",세기말 풋사과 보습학원,After School Lessons for Unripe Apples,Manhwa,Unknown,Unknown,Publishing,"Dec  23, 2020 to ?",RomanceRomance,SchoolSchool,,Naver Webtoon,Soonkki(Story & Art),"8.531(scored by31153,115 users)1indicates aweighted score.",#14122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2586,"9,390",526
The Boxer,,더 복서,The Boxer,Manhwa,13,123,Finished,"Dec  4, 2019 to May  4, 2022","DramaDrama,SportsSports",Combat SportsCombat Sports,,Naver Webtoon,"Jeong, Ji-Hoon(Story & Art)","8.501(scored by2752827,528 users)1indicates aweighted score.",#15222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#330,"56,344","2,211"
Return of the Blossoming Blade,"Return of the Mount Hua Sect, Return of the Flowery Mountain Sect, Hwasan Gwihwan",화산귀환,Return of the Blossoming Blade,Manhwa,Unknown,Unknown,Publishing,"Mar  23, 2021 to ?","ActionAction,AdventureAdventure,FantasyFantasy","Martial ArtsMartial Arts,ReincarnationReincarnation",,Naver Webtoon,"LICO(Art),Biga(Story)","8.491(scored by1419914,199 users)1indicates aweighted score.",#15622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#540,"36,901","1,014"
Villains Are Destined to Die,"Death Is the Only Ending for the Villainess, Agyeok-ui Ending Jugeum-ppun",악역의 엔딩은 죽음뿐,Villains Are Destined to Die,Manhwa,Unknown,Unknown,Publishing,"May  1, 2020 to ?","DramaDrama,FantasyFantasy,RomanceRomance","Reverse HaremReverse Harem,VillainessVillainess",,KakaoPage,"Gwon, Gyeoeul(Story),SUOL(Art)","8.481(scored by1658416,584 users)1indicates aweighted score.",#16822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#423,"45,915","1,996"
Who Made Me a Princess,"Eoneu Nal Gongjuga Doeeo Beoryeotda, Suddenly Became A Princess One Day",어느 날 공주가 되어버렸다,Who Made Me a Princess,Manhwa,Unknown,135,Finished,"Dec  20, 2017 to Dec  12, 2025","DramaDrama,FantasyFantasy",ReincarnationReincarnation,,Ridi Webtoon,"Plutus(Story),Spoon(Art)","8.471(scored by3135731,357 users)1indicates aweighted score.",#17022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#282,"65,908","3,388"
Bastard,Hulejasig,후레자식,Bastard,Manhwa,5,94,Finished,"Jul  4, 2014 to May  6, 2016","DramaDrama,HorrorHorror,MysteryMystery,RomanceRomance","GoreGore,PsychologicalPsychological",,Naver Webtoon,"Kim, Carnby(Story),Hwang, Young-chan(Art)","8.461(scored by7806878,068 users)1indicates aweighted score.",#17822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#90,"150,764","6,826"
Lost in the Cloud,Cloud,클라우드,Lost in the Cloud,Manhwa,Unknown,131,Finished,"Nov  20, 2020 to Jan  17, 2025",Boys LoveBoys Love,"PsychologicalPsychological,SchoolSchool",,Lezhin Comics Webtoon,"Kim, Pas(Story & Art)","8.451(scored by53335,333 users)1indicates aweighted score.",#19422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1813,"13,230",867
The Knight Only Lives Today,"Eternally Regressing Knight, A Knight Who Eternally Regresses, Oneul-man Saneun Gisa",오늘만 사는 기사,The Knight Only Lives Today,Manhwa,Unknown,Unknown,Publishing,"May  17, 2024 to ?","ActionAction,FantasyFantasy",Time TravelTime Travel,,Naver Webtoon,"Soulpung(Story),Ian(Art)","8.451(scored by58455,845 users)1indicates aweighted score.",#19822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1263,"17,621",277
Spirit Fingers,,스피릿 핑거스,Spirit Fingers,Manhwa,13,163,Finished,"May  16, 2015 to Jul  21, 2018","ComedyComedy,RomanceRomance,Slice of LifeSlice of Life",,,Naver Webtoon,"Han, Kyoung-chal(Story & Art)","8.431(scored by34393,439 users)1indicates aweighted score.",#21222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2466,"9,766",416
The Breaker,,브레이커,The Breaker,Manhwa,10,72,Finished,"Jun  1, 2007 to Jul  20, 2010","ActionAction,ComedyComedy,DramaDrama","Martial ArtsMartial Arts,SchoolSchool",,Young Champ,"Park, Jin-Hwan(Art),Jeon, Geuk-jin(Story)","8.381(scored by7200872,008 users)1indicates aweighted score.",#23822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#91,"150,185","6,160"
Pick Me Up,"Pick Me Up!, Infinite Gacha",픽 미 업!,Pick Me Up,Manhwa,Unknown,Unknown,Publishing,"Dec  28, 2022 to ?","ActionAction,FantasyFantasy","IsekaiIsekai,Video GameVideo Game",,KakaoPage,"Wasakbasak(Art),Hermod(Story)","8.381(scored by1225612,256 users)1indicates aweighted score.",#24222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#549,"36,372",783
The Breaker: New Waves,"The Breaker 2, The Breaker: NW, The Breaker: Part 2, The Breaker: Martial Arts City",브레이커NW,,Manhwa,20,203,Finished,"Oct  8, 2010 to May  8, 2015","ActionAction,ComedyComedy,DramaDrama,RomanceRomance","Martial ArtsMartial Arts,SchoolSchool",,Daum Webtoon,"Park, Jin-Hwan(Art),Jeon, Geuk-jin(Story)","8.371(scored by5287252,872 users)1indicates aweighted score.",#24522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#166,"97,920","4,234"
Her Tale of Shim Chong,"Her Shim Cheong, Geunyeoui Shim Cheong",그녀의 심청,Her Tale of Shim Chong,Manhwa,7,77,Finished,"Sep  12, 2017 to Mar  19, 2019","DramaDrama,Girls LoveGirls Love",HistoricalHistorical,,comico,"seri(Story),Biwan(Art)","8.371(scored by36203,620 users)1indicates aweighted score.",#26122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2029,"11,855",473
Tower of God,Sin-ui Tap,신의 탑,Tower of God,Manhwa,Unknown,Unknown,Publishing,"Jul  5, 2010 to ?","ActionAction,AdventureAdventure,DramaDrama,FantasyFantasy,MysteryMystery",,,Naver Webtoon,SIU(Story & Art),"8.351(scored by8715887,158 users)1indicates aweighted score.",#27922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#42,"210,629","12,877"
Daytime Star,Naj-e Tteuneun Byeol,낮에 뜨는 별,Daytime Star,Manhwa,Unknown,77,Finished,"Jun  25, 2021 to Jan  9, 2023",RomanceRomance,"Adult CastAdult Cast,ShowbizShowbiz",,KakaoPage,"Chae-eun(Story),Godago(Art)","8.351(scored by56975,697 users)1indicates aweighted score.",#28322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2024,"11,883",326
I Shall Master This Family,"In This Life, I Will Be the Lord, I'll Be the Matriarch in This Life, Ibeon Saeng-eun Gaju-ga Doegetseumnida",이번 생은 가주가 되겠습니다,I Shall Master This Family,Manhwa,Unknown,Unknown,Publishing,"Feb  28, 2021 to ?",FantasyFantasy,Time TravelTime Travel,,KakaoPage,"Kim, Roah(Story),Mon(Art)","8.341(scored by75977,597 users)1indicates aweighted score.",#28522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#981,"21,765",563
Whale Star: The Gyeongseong Mermaid,"Gorae-byeol, Gorae Byul",고래별,,Manhwa,6,109,Finished,"Jun  21, 2019 to Jul  9, 2021","DramaDrama,RomanceRomance",HistoricalHistorical,,Naver Webtoon,"Na, Yun-hui(Story & Art)","8.331(scored by10451,045 users)1indicates aweighted score.",#30322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4991,"4,867",153
SSS-Class Revival Hunter,"SSS-Class Suicide Hunter, SSS-geup Jugeoya Saneun Hunter",SSS급 죽어야 사는 헌터,SSS-Class Revival Hunter,Manhwa,Unknown,Unknown,Publishing,"Dec  31, 2020 to ?","ActionAction,AdventureAdventure,FantasyFantasy",Time TravelTime Travel,,KakaoPage,"Bill K(Art),Sinnoa(Story)","8.321(scored by2247222,472 users)1indicates aweighted score.",#30822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#314,"59,472","1,872"
Leviathan,"DeepWater, Deep Sea Water, Simhaesu",심해수,Leviathan,Manhwa,9,55,Finished,"Mar  19, 2018 to Apr  1, 2022","ActionAction,FantasyFantasy",SurvivalSurvival,,Toomics,"Noh, Miyoung(Art),Lee, Gyuntak(Story)","8.321(scored by93099,309 users)1indicates aweighted score.",#30922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#901,"23,802",528
"Myst, Might, Mayhem",The Chaotic God of Extraordinary Strength,괴력 난신,"Myst, Might, Mayhem",Manhwa,Unknown,Unknown,Publishing,"Mar  4, 2024 to ?","ActionAction,FantasyFantasy",Martial ArtsMartial Arts,,Naver Webtoon,"Kim, Tae-Hyung(Art),Hanjung Wolya(Story)","8.281(scored by36123,612 users)1indicates aweighted score.",#34822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1957,"12,357",158
I Love Amy,Naneun Amy-reul Saranghae,나는 에이미를 사랑해,I Love Amy,Manhwa,4,60,Finished,"Jan  26, 2022 to Jun  7, 2023","DramaDrama,Girls LoveGirls Love",SchoolSchool,,Peanutoon,Unni(Story & Art),"8.271(scored by28692,869 users)1indicates aweighted score.",#36922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4313,"5,732",290
Annarasumanara,The Sound of Magic,안나라수마나라,Annarasumanara,Manhwa,3,27,Finished,"Jul  2, 2010 to Dec  31, 2010","DramaDrama,MysteryMystery,RomanceRomance","PsychologicalPsychological,SchoolSchool",,Naver Webtoon,"Ha, Il-Kwon(Story & Art)","8.271(scored by3022030,220 users)1indicates aweighted score.",#37122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#236,"73,244","2,780"
Sweet Home,,스위트 홈,Sweet Home,Manhwa,12,141,Finished,"Oct  12, 2017 to Jul  2, 2020","ActionAction,DramaDrama,HorrorHorror,SuspenseSuspense",GoreGore,,Naver Webtoon,"Kim, Carnby(Story),Hwang, Young-chan(Art)","8.271(scored by4597145,971 users)1indicates aweighted score.",#37322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#188,"91,471","3,040"
A Stepmother's Märchen,"A Stepmother's Fairy Tale, The Fantasie of a Stepmother, Eotteon Gyemo-nim-ui Märchen, Which Stepmother's Märchen",어떤 계모님의 메르헨,A Stepmother's Märchen,Manhwa,Unknown,Unknown,Publishing,"Jul  4, 2019 to ?","DramaDrama,FantasyFantasy,RomanceRomance",Time TravelTime Travel,,KakaoPage,"Nyangi-wa Hyangsinnyo(Story),ORKA(Art)","8.261(scored by66696,669 users)1indicates aweighted score.",#37522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1005,"21,462",633
How to Win My Husband Over,"How to Get My Husband on My Side, Nampyeon-eul Nae Pyeon-euro Mandeuneun Bangbeop",남편을 내 편으로 만드는 방법,How to Win My Husband Over,Manhwa,Unknown,Unknown,Publishing,"Oct  21, 2021 to ?","DramaDrama,FantasyFantasy","IsekaiIsekai,PsychologicalPsychological,VillainessVillainess",,KakaoPage,"Nyangi-wa Hyangsinnyo(Story),Siru(Art)","8.251(scored by57985,798 users)1indicates aweighted score.",#39122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1213,"18,274",563
Virtual Strangers,"The Guild Member Next Door, My Guildmate Next Door, Neighbor Guild Member, Iutjip Guild-won",이웃집 길드원,Virtual Strangers,Manhwa,Unknown,Unknown,Publishing,"Jun  13, 2023 to ?","Boys LoveBoys Love,ComedyComedy","Adult CastAdult Cast,Video GameVideo Game",,Lezhin Comics Webtoon,"Honeytrap(Story),Bijak(Art)","8.251(scored by15921,592 users)1indicates aweighted score.",#39222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5102,"4,754",172
The Extra's Academy Survival Guide,How to Survive at the Academy,아카데미에서 살아남기,The Extra's Academy Survival Guide,Manhwa,Unknown,Unknown,Publishing,"Dec  28, 2023 to ?","ActionAction,FantasyFantasy","IsekaiIsekai,SchoolSchool",,Naver Webtoon,"Green Kyrin(Art),Korita(Story)","8.241(scored by79317,931 users)1indicates aweighted score.",#39822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#946,"22,787",463
King's Maker,,킹스메이커,,Manhwa,3,38,Finished,"Apr  25, 2017 to Nov  14, 2017","Boys LoveBoys Love,DramaDrama,FantasyFantasy",,,Lezhin Comics Webtoon,"Haga(Story & Art),Kang, Ji-young(Story & Art)","8.231(scored by51175,117 users)1indicates aweighted score.",#41022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1595,"14,688",312
Semantic Error,,시맨틱 에러,Semantic Error,Manhwa,Unknown,95,Finished,"Jul  27, 2020 to Oct  27, 2023",Boys LoveBoys Love,,,Ridi Webtoon,"J. Soori(Story),Angy(Art)","8.221(scored by41744,174 users)1indicates aweighted score.",#42922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2286,"10,431",286
Murderous Lewellyn's Candlelit Dinner,Murderer Llewellyn's Enchanting Dinner Invitation,살인마 르웰린 씨의 낭만적인 정찬,Murderous Lewellyn's Candlelit Dinner,Manhwa,6,48,Finished,"Jun  25, 2020 to Feb  24, 2022","Boys LoveBoys Love,SuspenseSuspense",HistoricalHistorical,,Ridi Webtoon,"Sumnagi(Story),Muk Bu(Art)","8.221(scored by11851,185 users)1indicates aweighted score.",#43022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#7771,"2,938",126
Romance 101,"Bareun Yeonae Giljabgi, A Guide to Proper Dating",바른연애 길잡이,Romance 101,Manhwa,11,152,Finished,"Mar  12, 2018 to May  25, 2021","ComedyComedy,RomanceRomance",SchoolSchool,,Naver Webtoon,Namsu(Story & Art),"8.201(scored by33783,378 users)1indicates aweighted score.",#46622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2611,"9,318",280
See You in My 19th Life,"Let's Meet in the Next Life, Please Take Care of Me in This Life as Well, Ibeon Saengdo Jal Butakhae",이번 생도 잘 부탁해,See You in My 19th Life,Manhwa,12,114,Finished,"Jun  5, 2020 to Sep  24, 2022",RomanceRomance,ReincarnationReincarnation,,Naver Webtoon,"Lee, Hye(Story & Art)","8.201(scored by69136,913 users)1indicates aweighted score.",#46922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1492,"15,501",376
Debut or Die!,"If I Fail to Debut, I'll Get a Killer Disease, Debut Mot Hamyeon Jungneun Byeong Geollim",데뷔 못 하면 죽는 병 걸림,Debut or Die!,Manhwa,Unknown,Unknown,Publishing,"Aug  1, 2022 to ?",DramaDrama,"Idols (Male)Idols (Male),PsychologicalPsychological,ReincarnationReincarnation,Time TravelTime Travel",,KakaoPage,"Baek, Deoksoo(Story),Soheun(Art)","8.191(scored by15911,591 users)1indicates aweighted score.",#47022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4947,"4,931",176
Cheese in the Trap Season 4,,치즈인더트랩 시즌4,,Manhwa,7,29,Finished,"Sep  2, 2015 to Mar  29, 2017","ComedyComedy,MysteryMystery,RomanceRomance,Slice of LifeSlice of Life",SchoolSchool,,Naver Webtoon,Soonkki(Story & Art),"8.191(scored by45754,575 users)1indicates aweighted score.",#48422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2307,"10,338",189
Why Raeliana Ended Up at the Duke's Mansion,"The Duke's Fiancee, Why She Had to Go to the Duke, The Reason Why Raeliana Ended up at the Duke's Mansion",그녀가 공작저로 가야 했던 사정,Why Raeliana Ended Up at the Duke's Mansion,Manhwa,9,27,Finished,"Sep  3, 2017 to Mar  22, 2021","FantasyFantasy,RomanceRomance","IsekaiIsekai,ReincarnationReincarnation",,KakaoPage,"Milcha(Story),Gorae(Art)","8.191(scored by2192621,926 users)1indicates aweighted score.",#48722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#407,"47,704","1,348"
Cheese in the Trap Season 3,,치즈인더트랩 시즌3,Cheese in the Trap Season 3,Manhwa,12,37,Finished,"Jan  9, 2013 to Aug  26, 2015","ComedyComedy,MysteryMystery,RomanceRomance,Slice of LifeSlice of Life",SchoolSchool,,Naver Webtoon,Soonkki(Story & Art),"8.181(scored by51555,155 users)1indicates aweighted score.",#49222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2138,"11,201",109
Can't See Can't Hear But Love,,보지 못하고 듣지 못하고 사랑해,"See, Hear, Love",Manhwa,6,83,Finished,"Oct  18, 2010 to Aug  22, 2011","DramaDrama,RomanceRomance",,,Daum Webtoon,"Go, Yeong-Hun(Story & Art)","8.161(scored by61666,166 users)1indicates aweighted score.",#50622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1076,"20,316",362
Trapped,Olgami,올가미,Trapped,Manhwa,Unknown,203,Finished,"Sep  2, 2019 to May  20, 2024","RomanceRomance,SuspenseSuspense",PsychologicalPsychological,,Naver Webtoon,Haemuri(Story & Art),"8.151(scored by28252,825 users)1indicates aweighted score.",#51422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2964,"8,339",283
The Stellar Swordmaster,"Star-Fostered Swordmaster, Star-Embracing Swordmaster",별을 품은 소드마스터,The Stellar Swordmaster,Manhwa,Unknown,Unknown,Publishing,"Sep  19, 2023 to ?","ActionAction,FantasyFantasy",,,Naver Webtoon,"Q10(Story),Juno(Art)","8.151(scored by62236,223 users)1indicates aweighted score.",#51522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1062,"20,518",250
Star Ginseng Store,"Byeol I Sam Sharp, *23#, Star Ginseng Shop",별이삼샵,,Manhwa,Unknown,Unknown,Publishing,"Dec  6, 2019 to ?","ComedyComedy,DramaDrama,RomanceRomance",SchoolSchool,,Naver Webtoon,Hyeono(Story & Art),8.151(scored by453453 users)1indicates aweighted score.,#51622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12380,"1,635",56
Nano Machine,,나노마신,Nano Machine,Manhwa,Unknown,Unknown,Publishing,"Jun  10, 2020 to ?","ActionAction,AdventureAdventure,FantasyFantasy,Sci-FiSci-Fi",Martial ArtsMartial Arts,,Naver Webtoon,"Hanjung Wolya(Story),Geumgang Bulgoe(Art)","8.141(scored by1506415,064 users)1indicates aweighted score.",#54322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#503,"40,159",848
Your Letter,"Yeon-ui Pyeonji, Yeon's Letter",연의 편지,Your Letter,Manhwa,1,11,Finished,"Aug  11, 2018 to Oct  13, 2018","AdventureAdventure,DramaDrama,MysteryMystery",SchoolSchool,,Naver Webtoon,"Cho, Hyun-ah(Story & Art)","8.141(scored by67516,751 users)1indicates aweighted score.",#54022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1504,"15,416",313
Something About Us,"Woori, Our Relationship Is, Ulisaineueun",우리사이느은,Something About Us,Manhwa,5,101,Finished,"Oct  1, 2014 to Oct  19, 2016",RomanceRomance,SchoolSchool,,Lezhin Comics Webtoon,"Lee, Yunji(Story & Art)","8.141(scored by1061010,610 users)1indicates aweighted score.",#54122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#676,"30,592",766
Killer Crush,"When the Killer Falls in Love, Killer-ga Sarang-e Ppajeosseul Ttae",킬러가 사랑에 빠졌을 때,Killer Crush,Manhwa,5,16,Finished,"Sep  2, 2021 to Aug  30, 2024","Boys LoveBoys Love,ComedyComedy","Adult CastAdult Cast,Organized CrimeOrganized Crime",,Lezhin Comics Webtoon,Eresemo(Story & Art),"8.131(scored by13921,392 users)1indicates aweighted score.",#56222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6468,"3,662",96
Heesu in Class 2,2-ban Lee Heesu,2반 이희수,Heesu in Class 2,Manhwa,4,81,Finished,"Nov  15, 2017 to Jun  26, 2019",Boys LoveBoys Love,SchoolSchool,,Lezhin Comics Webtoon,Lily(Story & Art),"8.131(scored by33023,302 users)1indicates aweighted score.",#55622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3056,"8,098",200
Your Throne,"I Want to Be You, Just For A Day, Haruman Nega Doego Sipeo",하루만 네가 되고 싶어,Your Throne,Manhwa,Unknown,Unknown,Publishing,"Jan  6, 2020 to ?","DramaDrama,FantasyFantasy,RomanceRomance",,,Naver Webtoon,SAM(Story & Art),"8.131(scored by91009,100 users)1indicates aweighted score.",#55722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#728,"28,558",770
Navillera: Like a Butterfly,,나빌레라,Navillera: Like a Butterfly,Manhwa,5,31,Finished,"Jul  26, 2016 to Oct  31, 2017",DramaDrama,Performing ArtsPerforming Arts,,Daum Webtoon,"Hun(Story),Jimin(Art)","8.121(scored by10131,013 users)1indicates aweighted score.",#58522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4235,"5,835",67
Roxana,"Roxana: The Way to Protect the Female Lead's Older Brother, Roxana: Yeojuingong-ui Oppa-reul Jikineun Bangbeop",록사나 : 여주인공의 오빠를 지키는 방법,Roxana,Manhwa,Unknown,43,On Hiatus,"Jan  31, 2021 to Aug  29, 2022","DramaDrama,FantasyFantasy,RomanceRomance","PsychologicalPsychological,VillainessVillainess",,KakaoPage,"Kin(Story),Yeoreumbit(Art)","8.121(scored by52735,273 users)1indicates aweighted score.",#58222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1403,"16,143",313
Our Secret Alliance,Gajja Dongmaeng,가짜 동맹,Our Secret Alliance,Manhwa,5,75,Finished,"Jan  18, 2022 to May  30, 2023",RomanceRomance,,,Naver Webtoon,Kenyam(Story & Art),"8.121(scored by28352,835 users)1indicates aweighted score.",#58322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3368,"7,364",150
Vagrant Soldier Ares,Ares: Drifter Mercenaries,떠돌이 용병 아레스,,Manhwa,26,207,Finished,2001 to  2007,"ActionAction,AdventureAdventure,DramaDrama",,,None,"Ryu, Geum Chel(Story & Art)","8.121(scored by62586,258 users)1indicates aweighted score.",#57522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1286,"17,378",510
The Spark in Your Eyes,"Jeomuneun Hae, Sirin Nun, The Setting Sun, Stinging Eyes, Blinded by the Setting Sun","저무는 해, 시린 눈",The Spark in Your Eyes,Manhwa,Unknown,231,Finished,"Jun  12, 2020 to Dec  26, 2025","DramaDrama,FantasyFantasy,RomanceRomance",,,Naver Webtoon,Muro(Story & Art),"8.111(scored by19571,957 users)1indicates aweighted score.",#60322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3609,"6,833",154
